From	To	Edits	Jaro-Winkler	Total Distance	Edit list
cosgrove's	covfefe	7	0.726	7.8	delete 's' at 3, delete 'g' at 4, delete 'r' at 5, replace 'o' at 6 with 'v' (distance 5.39), replace 'v' at 7 with 'f' (distance 1), replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
cosme	covfefe	4	0.741	3.65	insert 'v' at 3, insert 'f' at 4, replace 's' at 3 with 'e' (distance 1.41), replace 'm' at 4 with 'f' (distance 2.24), 
costen	covfefe	4	0.714	7.26	replace 's' at 3 with 'v' (distance 2.24), replace 't' at 4 with 'f' (distance 1.41), insert 'f' at 6, replace 'n' at 6 with 'e' (distance 3.61), 
coster	covfefe	4	0.714	4.65	replace 's' at 3 with 'v' (distance 2.24), replace 't' at 4 with 'f' (distance 1.41), insert 'f' at 6, replace 'r' at 6 with 'e' (distance 1), 
cot	covfefe	5	0.721	2	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 't' at 3 with 'e' (distance 2), 
cote	covfefe	4	0.781	1.41	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 't' at 3 with 'f' (distance 1.41), 
cote's	covfefe	4	0.714	2.83	insert 'v' at 3, replace 't' at 3 with 'f' (distance 1.41), replace ''' at 5 with 'f' (non-letter, distance ignored), replace 's' at 6 with 'e' (distance 1.41), 
coteau	covfefe	4	0.714	8.41	insert 'v' at 3, replace 't' at 3 with 'f' (distance 1.41), replace 'a' at 5 with 'f' (distance 3), replace 'u' at 6 with 'e' (distance 4), 
cotesfield	covfefe	6	0.737	8.24	delete 't' at 3, delete 'e' at 4, replace 's' at 5 with 'v' (distance 2.24), delete 'i' at 7, replace 'l' at 9 with 'f' (distance 5), replace 'd' at 10 with 'e' (distance 1), 
cotesfield's	covfefe	8	0.715	3.65	delete 't' at 3, delete 'e' at 4, replace 's' at 5 with 'v' (distance 2.24), delete 'i' at 7, delete 'l' at 9, delete 'd' at 10, replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
cotherstone	covfefe	7	0.716	6.47	replace 't' at 3 with 'v' (distance 2.24), replace 'h' at 4 with 'f' (distance 2), delete 'r' at 6, delete 's' at 7, delete 't' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), 
cotherstone's	covfefe	9	0.701	6.47	replace 't' at 3 with 'v' (distance 2.24), replace 'h' at 4 with 'f' (distance 2), delete 'r' at 6, delete 's' at 7, delete 't' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), delete ''' at 12, delete 's' at 13, 
cotoneaster	covfefe	7	0.716	9.04	delete 't' at 3, replace 'o' at 4 with 'v' (distance 5.39), replace 'n' at 5 with 'f' (distance 2.24), delete 'a' at 7, delete 's' at 8, replace 't' at 9 with 'f' (distance 1.41), delete 'r' at 11, 
cotoneaster's	covfefe	9	0.701	9.04	delete 't' at 3, replace 'o' at 4 with 'v' (distance 5.39), replace 'n' at 5 with 'f' (distance 2.24), delete 'a' at 7, delete 's' at 8, replace 't' at 9 with 'f' (distance 1.41), delete 'r' at 11, delete ''' at 12, delete 's' at 13, 
cotsen	covfefe	4	0.714	7.84	replace 't' at 3 with 'v' (distance 2.24), replace 's' at 4 with 'f' (distance 2), insert 'f' at 6, replace 'n' at 6 with 'e' (distance 3.61), 
cotter	covfefe	4	0.714	4.65	replace 't' at 3 with 'v' (distance 2.24), replace 't' at 4 with 'f' (distance 1.41), insert 'f' at 6, replace 'r' at 6 with 'e' (distance 1), 
cotterell	covfefe	5	0.738	4.65	replace 't' at 3 with 'v' (distance 2.24), replace 't' at 4 with 'f' (distance 1.41), replace 'r' at 6 with 'f' (distance 1), delete 'l' at 8, delete 'l' at 9, 
cotterell's	covfefe	7	0.716	4.65	replace 't' at 3 with 'v' (distance 2.24), replace 't' at 4 with 'f' (distance 1.41), replace 'r' at 6 with 'f' (distance 1), delete 'l' at 8, delete 'l' at 9, delete ''' at 10, delete 's' at 11, 
cottle	covfefe	4	0.714	8.41	insert 'v' at 3, replace 't' at 3 with 'f' (distance 1.41), replace 't' at 4 with 'e' (distance 2), replace 'l' at 5 with 'f' (distance 5), 
cottleville	covfefe	7	0.725	15.2	delete 't' at 3, delete 't' at 4, delete 'l' at 5, delete 'e' at 6, replace 'i' at 8 with 'f' (distance 4.12), replace 'l' at 9 with 'e' (distance 6.08), replace 'l' at 10 with 'f' (distance 5), 
cottleville's	covfefe	9	0.706	6.41	delete 't' at 3, delete 't' at 4, delete 'l' at 5, delete 'e' at 6, delete 'i' at 8, delete 'l' at 9, replace 'l' at 10 with 'f' (distance 5), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
coue	covfefe	4	0.781	3.16	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 'u' at 3 with 'f' (distance 3.16), 
coue's	covfefe	4	0.714	4.58	insert 'v' at 3, replace 'u' at 3 with 'f' (distance 3.16), replace ''' at 5 with 'f' (non-letter, distance ignored), replace 's' at 6 with 'e' (distance 1.41), 
counce	covfefe	4	0.714	8.18	insert 'v' at 3, replace 'u' at 3 with 'f' (distance 3.16), replace 'n' at 4 with 'e' (distance 3.61), replace 'c' at 5 with 'f' (distance 1.41), 
countee	covfefe	4	0.771	9.26	replace 'u' at 3 with 'v' (distance 3.61), replace 'n' at 4 with 'f' (distance 2.24), replace 't' at 5 with 'e' (distance 2), replace 'e' at 6 with 'f' (distance 1.41), 
countee's	covfefe	6	0.738	5.06	delete 'u' at 3, delete 'n' at 4, replace 't' at 5 with 'v' (distance 2.24), replace 'e' at 6 with 'f' (distance 1.41), replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
coupeville	covfefe	6	0.737	15.2	delete 'u' at 3, delete 'p' at 4, delete 'e' at 5, replace 'i' at 7 with 'f' (distance 4.12), replace 'l' at 8 with 'e' (distance 6.08), replace 'l' at 9 with 'f' (distance 5), 
coupeville's	covfefe	8	0.715	6.41	delete 'u' at 3, delete 'p' at 4, delete 'e' at 5, delete 'i' at 7, delete 'l' at 8, replace 'l' at 9 with 'f' (distance 5), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
courbevoie	covfefe	6	0.737	7.54	delete 'u' at 3, replace 'r' at 4 with 'v' (distance 2), replace 'b' at 5 with 'f' (distance 1.41), delete 'v' at 7, delete 'o' at 8, replace 'i' at 9 with 'f' (distance 4.12), 
courtelle	covfefe	5	0.738	8.41	delete 'u' at 3, replace 'r' at 4 with 'v' (distance 2), replace 't' at 5 with 'f' (distance 1.41), delete 'l' at 7, replace 'l' at 8 with 'f' (distance 5), 
courtelle's	covfefe	7	0.716	8.41	delete 'u' at 3, replace 'r' at 4 with 'v' (distance 2), replace 't' at 5 with 'f' (distance 1.41), delete 'l' at 7, replace 'l' at 8 with 'f' (distance 5), delete ''' at 10, delete 's' at 11, 
courteney	covfefe	5	0.738	5.65	delete 'u' at 3, replace 'r' at 4 with 'v' (distance 2), replace 't' at 5 with 'f' (distance 1.41), replace 'n' at 7 with 'f' (distance 2.24), delete 'y' at 9, 
courteney's	covfefe	7	0.716	5.65	delete 'u' at 3, replace 'r' at 4 with 'v' (distance 2), replace 't' at 5 with 'f' (distance 1.41), replace 'n' at 7 with 'f' (distance 2.24), delete 'y' at 9, delete ''' at 10, delete 's' at 11, 
coutet	covfefe	4	0.714	7.02	replace 'u' at 3 with 'v' (distance 3.61), replace 't' at 4 with 'f' (distance 1.41), insert 'f' at 6, replace 't' at 6 with 'e' (distance 2), 
covarecan	covfefe	5	0.77	7.61	delete 'a' at 4, replace 'r' at 5 with 'f' (distance 1), delete 'c' at 7, replace 'a' at 8 with 'f' (distance 3), replace 'n' at 9 with 'e' (distance 3.61), 
covarecan's	covfefe	7	0.752	2.41	delete 'a' at 4, replace 'r' at 5 with 'f' (distance 1), delete 'c' at 7, delete 'a' at 8, delete 'n' at 9, replace ''' at 10 with 'f' (non-letter, distance ignored), replace 's' at 11 with 'e' (distance 1.41), 
covarecas	covfefe	5	0.77	5.41	delete 'a' at 4, replace 'r' at 5 with 'f' (distance 1), delete 'c' at 7, replace 'a' at 8 with 'f' (distance 3), replace 's' at 9 with 'e' (distance 1.41), 
covarecas's	covfefe	7	0.752	2.41	delete 'a' at 4, replace 'r' at 5 with 'f' (distance 1), delete 'c' at 7, delete 'a' at 8, delete 's' at 9, replace ''' at 10 with 'f' (non-letter, distance ignored), replace 's' at 11 with 'e' (distance 1.41), 
covel	covfefe	3	0.853	6.08	insert 'f' at 4, insert 'f' at 6, replace 'l' at 5 with 'e' (distance 6.08), 
covel's	covfefe	4	0.8	8.91	replace 'e' at 4 with 'f' (distance 1.41), replace 'l' at 5 with 'e' (distance 6.08), replace ''' at 6 with 'f' (non-letter, distance ignored), replace 's' at 7 with 'e' (distance 1.41), 
covell	covfefe	3	0.822	11.1	insert 'f' at 4, replace 'l' at 5 with 'f' (distance 5), replace 'l' at 6 with 'e' (distance 6.08), 
covell's	covfefe	5	0.783	12.5	delete 'e' at 4, replace 'l' at 5 with 'f' (distance 5), replace 'l' at 6 with 'e' (distance 6.08), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
covelo	covfefe	3	0.822	11	insert 'f' at 4, replace 'l' at 5 with 'f' (distance 5), replace 'o' at 6 with 'e' (distance 6), 
covelo's	covfefe	5	0.783	12.4	delete 'e' at 4, replace 'l' at 5 with 'f' (distance 5), replace 'o' at 6 with 'e' (distance 6), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
covena	covfefe	3	0.822	4.47	insert 'f' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 'a' at 6 with 'e' (distance 2.24), 
covena's	covfefe	5	0.783	5.89	delete 'e' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 'a' at 6 with 'e' (distance 2.24), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
covenant	covfefe	5	0.783	8.71	delete 'e' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 'a' at 6 with 'e' (distance 2.24), replace 'n' at 7 with 'f' (distance 2.24), replace 't' at 8 with 'e' (distance 2), 
covenant's	covfefe	7	0.76	5.65	delete 'e' at 4, delete 'n' at 5, delete 'a' at 6, replace 'n' at 7 with 'f' (distance 2.24), replace 't' at 8 with 'e' (distance 2), replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
covenanter	covfefe	6	0.817	8.02	delete 'e' at 4, delete 'n' at 5, replace 'a' at 6 with 'f' (distance 3), replace 'n' at 7 with 'e' (distance 3.61), replace 't' at 8 with 'f' (distance 1.41), delete 'r' at 10, 
covenanter's	covfefe	8	0.797	2.83	delete 'e' at 4, delete 'n' at 5, delete 'a' at 6, delete 'n' at 7, replace 't' at 8 with 'f' (distance 1.41), delete 'r' at 10, replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
covenanters	covfefe	7	0.806	3.83	delete 'e' at 4, delete 'n' at 5, delete 'a' at 6, delete 'n' at 7, replace 't' at 8 with 'f' (distance 1.41), replace 'r' at 10 with 'f' (distance 1), replace 's' at 11 with 'e' (distance 1.41), 
coveney	covfefe	3	0.867	2.24	insert 'f' at 4, replace 'n' at 5 with 'f' (distance 2.24), delete 'y' at 7, 
coveney's	covfefe	5	0.83	3.65	delete 'e' at 4, replace 'n' at 5 with 'f' (distance 2.24), delete 'y' at 7, replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
coventries	covfefe	6	0.817	6.54	delete 'e' at 4, delete 'n' at 5, replace 't' at 6 with 'f' (distance 1.41), replace 'r' at 7 with 'e' (distance 1), replace 'i' at 8 with 'f' (distance 4.12), delete 's' at 10, 
coventry	covfefe	5	0.783	8.24	delete 'e' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 't' at 6 with 'e' (distance 2), replace 'r' at 7 with 'f' (distance 1), replace 'y' at 8 with 'e' (distance 3), 
coventry's	covfefe	7	0.76	5.41	delete 'e' at 4, delete 'n' at 5, delete 't' at 6, replace 'r' at 7 with 'f' (distance 1), replace 'y' at 8 with 'e' (distance 3), replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
coverdale	covfefe	5	0.83	8.24	delete 'e' at 4, delete 'r' at 5, replace 'd' at 6 with 'f' (distance 1), replace 'a' at 7 with 'e' (distance 2.24), replace 'l' at 8 with 'f' (distance 5), 
coverley	covfefe	4	0.846	7.41	replace 'e' at 4 with 'f' (distance 1.41), replace 'r' at 5 with 'e' (distance 1), replace 'l' at 6 with 'f' (distance 5), delete 'y' at 8, 
covesville	covfefe	6	0.817	15.2	delete 'e' at 4, delete 's' at 5, delete 'v' at 6, replace 'i' at 7 with 'f' (distance 4.12), replace 'l' at 8 with 'e' (distance 6.08), replace 'l' at 9 with 'f' (distance 5), 
covesville's	covfefe	8	0.797	6.41	delete 'e' at 4, delete 's' at 5, delete 'v' at 6, delete 'i' at 7, delete 'l' at 8, replace 'l' at 9 with 'f' (distance 5), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
coviello	covfefe	4	0.783	15.1	replace 'i' at 4 with 'f' (distance 4.12), delete 'l' at 6, replace 'l' at 7 with 'f' (distance 5), replace 'o' at 8 with 'e' (distance 6), 
coviello's	covfefe	6	0.76	5.54	replace 'i' at 4 with 'f' (distance 4.12), delete 'l' at 6, delete 'l' at 7, delete 'o' at 8, replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
covillea	covfefe	4	0.783	15.2	replace 'i' at 4 with 'f' (distance 4.12), replace 'l' at 5 with 'e' (distance 6.08), replace 'l' at 6 with 'f' (distance 5), delete 'a' at 8, 
covillea's	covfefe	6	0.76	6.41	delete 'i' at 4, delete 'l' at 5, replace 'l' at 6 with 'f' (distance 5), delete 'a' at 8, replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
covina	covfefe	4	0.75	9.47	insert 'f' at 4, replace 'i' at 4 with 'e' (distance 5), replace 'n' at 5 with 'f' (distance 2.24), replace 'a' at 6 with 'e' (distance 2.24), 
covina's	covfefe	5	0.721	5.89	delete 'i' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 'a' at 6 with 'e' (distance 2.24), replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
covington	covfefe	6	0.711	11.7	delete 'i' at 4, delete 'n' at 5, replace 'g' at 6 with 'f' (distance 1), replace 't' at 7 with 'e' (distance 2), replace 'o' at 8 with 'f' (distance 5.1), replace 'n' at 9 with 'e' (distance 3.61), 
cowanesque	covfefe	6	0.726	8.56	delete 'w' at 3, replace 'a' at 4 with 'v' (distance 3.16), replace 'n' at 5 with 'f' (distance 2.24), delete 's' at 7, delete 'q' at 8, replace 'u' at 9 with 'f' (distance 3.16), 
cowanesque's	covfefe	8	0.708	8.56	delete 'w' at 3, replace 'a' at 4 with 'v' (distance 3.16), replace 'n' at 5 with 'f' (distance 2.24), delete 's' at 7, delete 'q' at 8, replace 'u' at 9 with 'f' (distance 3.16), delete ''' at 11, delete 's' at 12, 
cowansville	covfefe	7	0.716	15.2	delete 'w' at 3, delete 'a' at 4, delete 'n' at 5, delete 's' at 6, replace 'i' at 8 with 'f' (distance 4.12), replace 'l' at 9 with 'e' (distance 6.08), replace 'l' at 10 with 'f' (distance 5), 
cowansville's	covfefe	9	0.701	6.41	delete 'w' at 3, delete 'a' at 4, delete 'n' at 5, delete 's' at 6, delete 'i' at 8, delete 'l' at 9, replace 'l' at 10 with 'f' (distance 5), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
cowden	covfefe	4	0.714	7.43	replace 'w' at 3 with 'v' (distance 2.83), replace 'd' at 4 with 'f' (distance 1), insert 'f' at 6, replace 'n' at 6 with 'e' (distance 3.61), 
cowell	covfefe	4	0.714	13.3	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), replace 'l' at 5 with 'f' (distance 5), replace 'l' at 6 with 'e' (distance 6.08), 
cowen	covfefe	4	0.741	5.84	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), insert 'f' at 6, replace 'n' at 5 with 'e' (distance 3.61), 
cower	covfefe	4	0.741	3.24	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), insert 'f' at 6, replace 'r' at 5 with 'e' (distance 1), 
cowes	covfefe	4	0.741	3.65	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), insert 'f' at 6, replace 's' at 5 with 'e' (distance 1.41), 
coweta	covfefe	4	0.714	5.89	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), replace 't' at 5 with 'f' (distance 1.41), replace 'a' at 6 with 'e' (distance 2.24), 
cowey	covfefe	4	0.741	5.24	insert 'v' at 3, replace 'w' at 3 with 'f' (distance 2.24), insert 'f' at 6, replace 'y' at 5 with 'e' (distance 3), 
cowie	covfefe	4	0.741	5.12	insert 'v' at 3, insert 'f' at 4, replace 'w' at 3 with 'e' (distance 1), replace 'i' at 4 with 'f' (distance 4.12), 
cowles	covfefe	4	0.714	9.24	replace 'w' at 3 with 'v' (distance 2.83), replace 'l' at 4 with 'f' (distance 5), insert 'f' at 6, replace 's' at 6 with 'e' (distance 1.41), 
cowlesville	covfefe	7	0.725	15.2	delete 'w' at 3, delete 'l' at 4, delete 'e' at 5, delete 's' at 6, replace 'i' at 8 with 'f' (distance 4.12), replace 'l' at 9 with 'e' (distance 6.08), replace 'l' at 10 with 'f' (distance 5), 
cowlesville's	covfefe	9	0.706	6.41	delete 'w' at 3, delete 'l' at 4, delete 'e' at 5, delete 's' at 6, delete 'i' at 8, delete 'l' at 9, replace 'l' at 10 with 'f' (distance 5), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
cowley	covfefe	4	0.714	10.8	replace 'w' at 3 with 'v' (distance 2.83), replace 'l' at 4 with 'f' (distance 5), insert 'f' at 6, replace 'y' at 6 with 'e' (distance 3), 
cowper	covfefe	4	0.714	9.91	replace 'w' at 3 with 'v' (distance 2.83), replace 'p' at 4 with 'f' (distance 6.08), insert 'f' at 6, replace 'r' at 6 with 'e' (distance 1), 
cox	covfefe	5	0.721	0	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'x' at 3 with 'e' (non-letter, distance ignored), 
coxey	covfefe	4	0.741	3	insert 'v' at 3, replace 'x' at 3 with 'f' (non-letter, distance ignored), insert 'f' at 6, replace 'y' at 5 with 'e' (distance 3), 
coxyde	covfefe	4	0.714	4	insert 'v' at 3, replace 'x' at 3 with 'f' (non-letter, distance ignored), replace 'y' at 4 with 'e' (distance 3), replace 'd' at 5 with 'f' (distance 1), 
coy	covfefe	5	0.721	3	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, replace 'y' at 3 with 'e' (distance 3), 
coyle	covfefe	4	0.741	8	insert 'v' at 3, insert 'f' at 4, replace 'y' at 3 with 'e' (distance 3), replace 'l' at 4 with 'f' (distance 5), 
coyville	covfefe	4	0.752	15.2	delete 'y' at 3, replace 'i' at 5 with 'f' (distance 4.12), replace 'l' at 6 with 'e' (distance 6.08), replace 'l' at 7 with 'f' (distance 5), 
coyville's	covfefe	6	0.726	6.41	delete 'y' at 3, delete 'i' at 5, delete 'l' at 6, replace 'l' at 7 with 'f' (distance 5), replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
cozens	covfefe	4	0.714	6.81	insert 'v' at 3, replace 'z' at 3 with 'f' (distance 3.16), replace 'n' at 5 with 'f' (distance 2.24), replace 's' at 6 with 'e' (distance 1.41), 
creed	covfefe	5	0.709	3.41	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'e' at 4 with 'f' (distance 1.41), replace 'd' at 5 with 'e' (distance 1), 
creek	covfefe	5	0.709	7.51	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'e' at 4 with 'f' (distance 1.41), replace 'k' at 5 with 'e' (distance 5.1), 
creel	covfefe	5	0.709	8.5	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'e' at 4 with 'f' (distance 1.41), replace 'l' at 5 with 'e' (distance 6.08), 
crees	covfefe	5	0.709	3.83	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'e' at 4 with 'f' (distance 1.41), replace 's' at 5 with 'e' (distance 1.41), 
crete	covfefe	4	0.709	2.41	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 't' at 4 with 'f' (distance 1.41), 
crewe	covfefe	4	0.709	3.24	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'w' at 4 with 'f' (distance 2.24), 
croce	covfefe	5	0.709	8.41	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'o' at 3 with 'e' (distance 6), replace 'c' at 4 with 'f' (distance 1.41), 
croesuses	covfefe	6	0.705	10.2	delete 'r' at 2, replace 'e' at 4 with 'v' (distance 2.24), replace 's' at 5 with 'f' (distance 2), replace 'u' at 6 with 'e' (distance 4), replace 's' at 7 with 'f' (distance 2), delete 's' at 9, 
croft	covfefe	5	0.709	9	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'o' at 3 with 'e' (distance 6), replace 't' at 5 with 'e' (distance 2), 
crowe	covfefe	5	0.709	9.24	insert 'o' at 2, insert 'v' at 3, replace 'r' at 2 with 'f' (distance 1), replace 'o' at 3 with 'e' (distance 6), replace 'w' at 4 with 'f' (distance 2.24), 
crowville	covfefe	5	0.705	15.2	delete 'r' at 2, delete 'w' at 4, replace 'i' at 6 with 'f' (distance 4.12), replace 'l' at 7 with 'e' (distance 6.08), replace 'l' at 8 with 'f' (distance 5), 
cullowhee	covfefe	6	0.705	4.83	delete 'u' at 2, delete 'l' at 3, delete 'l' at 4, replace 'w' at 6 with 'v' (distance 2.83), replace 'h' at 7 with 'f' (distance 2), insert 'f' at 6, 
cvennes	covfefe	5	0.743	7.26	insert 'o' at 2, replace 'e' at 3 with 'f' (distance 1.41), replace 'n' at 4 with 'e' (distance 3.61), replace 'n' at 5 with 'f' (distance 2.24), delete 's' at 7, 
cvennes's	covfefe	7	0.705	11.7	delete 'v' at 2, replace 'e' at 3 with 'o' (distance 6), replace 'n' at 4 with 'v' (distance 2), replace 'n' at 5 with 'f' (distance 2.24), delete 's' at 7, replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
c√©vennes	covfefe	6	0.705	7.26	delete '√' at 2, replace '©' at 3 with 'o' (non-letter, distance ignored), replace 'e' at 5 with 'f' (distance 1.41), replace 'n' at 6 with 'e' (distance 3.61), replace 'n' at 7 with 'f' (distance 2.24), delete 's' at 9, 
defoe	covfefe	5	0.707	13.4	insert 'c' at 1, replace 'd' at 1 with 'o' (distance 6.08), replace 'e' at 2 with 'v' (distance 2.24), insert 'e' at 5, replace 'o' at 4 with 'f' (distance 5.1), 
discoverer	covfefe	6	0.738	1	delete 'd' at 1, delete 'i' at 2, delete 's' at 3, insert 'f' at 4, replace 'r' at 8 with 'f' (distance 1), delete 'r' at 10, 
discoverer's	covfefe	8	0.71	2.41	delete 'd' at 1, delete 'i' at 2, delete 's' at 3, delete 'e' at 7, replace 'r' at 8 with 'f' (distance 1), delete 'r' at 10, replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
dove	covfefe	4	0.726	1	replace 'd' at 1 with 'c' (distance 1), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
escoffier	covfefe	6	0.73	8.41	delete 'e' at 1, delete 's' at 2, replace 'f' at 5 with 'v' (distance 1), replace 'i' at 7 with 'e' (distance 5), replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), 
force	covfefe	5	0.707	3.83	replace 'f' at 1 with 'c' (distance 1.41), insert 'v' at 3, insert 'f' at 4, replace 'r' at 3 with 'e' (distance 1), replace 'c' at 4 with 'f' (distance 1.41), 
godfree	covfefe	4	0.714	6.06	replace 'g' at 1 with 'c' (distance 2.24), replace 'd' at 3 with 'v' (distance 1.41), replace 'r' at 5 with 'e' (distance 1), replace 'e' at 6 with 'f' (distance 1.41), 
goff	covfefe	4	0.726	2.24	replace 'g' at 1 with 'c' (distance 2.24), insert 'v' at 3, insert 'e' at 5, insert 'e' at 7, 
gove	covfefe	4	0.726	2.24	replace 'g' at 1 with 'c' (distance 2.24), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
hoeve	covfefe	4	0.707	4.16	replace 'h' at 1 with 'c' (distance 3.16), insert 'v' at 3, insert 'f' at 4, replace 'v' at 4 with 'f' (distance 1), 
hoff	covfefe	4	0.726	3.16	replace 'h' at 1 with 'c' (distance 3.16), insert 'v' at 3, insert 'e' at 5, insert 'e' at 7, 
hove	covfefe	4	0.726	3.16	replace 'h' at 1 with 'c' (distance 3.16), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
jove	covfefe	4	0.726	4.12	replace 'j' at 1 with 'c' (distance 4.12), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
jove	covfefe	4	0.726	4.12	replace 'j' at 1 with 'c' (distance 4.12), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
loeffler	covfefe	5	0.713	14.7	replace 'l' at 1 with 'c' (distance 6.08), replace 'e' at 3 with 'v' (distance 2.24), replace 'f' at 5 with 'e' (distance 1.41), replace 'l' at 6 with 'f' (distance 5), delete 'r' at 8, 
love	covfefe	4	0.726	6.08	replace 'l' at 1 with 'c' (distance 6.08), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
mackoff	covfefe	6	0.714	23.5	replace 'm' at 1 with 'c' (distance 3), replace 'a' at 2 with 'o' (distance 8.06), replace 'c' at 3 with 'v' (distance 1), replace 'k' at 4 with 'f' (distance 4), replace 'o' at 5 with 'e' (distance 6), replace 'f' at 7 with 'e' (distance 1.41), 
mcafee	covfefe	4	0.746	12.5	replace 'm' at 1 with 'c' (distance 3), replace 'c' at 2 with 'o' (distance 6.32), replace 'a' at 3 with 'v' (distance 3.16), insert 'f' at 6, 
mcfee	covfefe	4	0.79	4.61	insert 'c' at 1, replace 'm' at 1 with 'o' (distance 3.61), replace 'c' at 2 with 'v' (distance 1), insert 'f' at 6, 
mcfee's	covfefe	6	0.714	13.2	replace 'm' at 1 with 'c' (distance 3), replace 'c' at 2 with 'o' (distance 6.32), replace 'f' at 3 with 'v' (distance 1), replace 'e' at 4 with 'f' (distance 1.41), replace ''' at 6 with 'f' (non-letter, distance ignored), replace 's' at 7 with 'e' (distance 1.41), 
o	covfefe	6	0.714	0	insert 'c' at 1, insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
ov	covfefe	5	0.762	0	insert 'c' at 1, insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, insert 'e' at 7, 
ocoee	covfefe	4	0.707	6.1	insert 'c' at 1, replace 'c' at 2 with 'v' (distance 1), replace 'o' at 3 with 'f' (distance 5.1), insert 'f' at 6, 
