From	To	Edits	Jaro-Winkler	Total Distance	Edit list
caroleen	covfefe	6	0.721	20.4	delete 'a' at 2, replace 'r' at 3 with 'o' (distance 5), replace 'o' at 4 with 'v' (distance 5.39), replace 'l' at 5 with 'f' (distance 5), replace 'e' at 7 with 'f' (distance 1.41), replace 'n' at 8 with 'e' (distance 3.61), 
cave	covfefe	4	0.754	8.06	replace 'a' at 2 with 'o' (distance 8.06), insert 'f' at 4, insert 'e' at 5, insert 'f' at 6, 
cavennes	covfefe	5	0.721	15.3	replace 'a' at 2 with 'o' (distance 8.06), replace 'e' at 4 with 'f' (distance 1.41), replace 'n' at 5 with 'e' (distance 3.61), replace 'n' at 6 with 'f' (distance 2.24), delete 's' at 8, 
caves	covfefe	4	0.709	9.48	replace 'a' at 2 with 'o' (distance 8.06), insert 'f' at 4, insert 'f' at 6, replace 's' at 5 with 'e' (distance 1.41), 
celie	covfefe	5	0.709	11.6	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'l' at 3 with 'e' (distance 6.08), replace 'i' at 4 with 'f' (distance 4.12), 
celle	covfefe	5	0.709	12.5	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'l' at 3 with 'e' (distance 6.08), replace 'l' at 4 with 'f' (distance 5), 
cence	covfefe	5	0.709	6.43	insert 'o' at 2, insert 'v' at 3, replace 'e' at 2 with 'f' (distance 1.41), replace 'n' at 3 with 'e' (distance 3.61), replace 'c' at 4 with 'f' (distance 1.41), 
ceres	covfefe	5	0.709	4.65	insert 'o' at 2, replace 'e' at 2 with 'v' (distance 2.24), replace 'r' at 3 with 'f' (distance 1), insert 'f' at 6, replace 's' at 5 with 'e' (distance 1.41), 
cevenol	covfefe	5	0.739	22.2	replace 'e' at 2 with 'o' (distance 6), replace 'e' at 4 with 'f' (distance 1.41), replace 'n' at 5 with 'e' (distance 3.61), replace 'o' at 6 with 'f' (distance 5.1), replace 'l' at 7 with 'e' (distance 6.08), 
cevenole	covfefe	5	0.712	19.2	replace 'e' at 2 with 'o' (distance 6), delete 'e' at 4, replace 'n' at 5 with 'f' (distance 2.24), replace 'o' at 6 with 'e' (distance 6), replace 'l' at 7 with 'f' (distance 5), 
chafee	covfefe	3	0.771	6.32	replace 'h' at 2 with 'o' (distance 3.16), replace 'a' at 3 with 'v' (distance 3.16), insert 'f' at 6, 
chafee's	covfefe	5	0.721	7.74	replace 'h' at 2 with 'o' (distance 3.16), replace 'a' at 3 with 'v' (distance 3.16), delete 'e' at 5, replace ''' at 7 with 'f' (non-letter, distance ignored), replace 's' at 8 with 'e' (distance 1.41), 
chaffee	covfefe	4	0.769	9.15	replace 'h' at 2 with 'o' (distance 3.16), replace 'a' at 3 with 'v' (distance 3.16), replace 'f' at 5 with 'e' (distance 1.41), replace 'e' at 6 with 'f' (distance 1.41), 
chaffee's	covfefe	6	0.721	7.74	replace 'h' at 2 with 'o' (distance 3.16), replace 'a' at 3 with 'v' (distance 3.16), delete 'f' at 5, delete 'e' at 6, replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
chavaree	covfefe	5	0.721	13.5	delete 'h' at 2, replace 'a' at 3 with 'o' (distance 8.06), replace 'a' at 5 with 'f' (distance 3), replace 'r' at 6 with 'e' (distance 1), replace 'e' at 7 with 'f' (distance 1.41), 
cheer	covfefe	5	0.709	4.41	insert 'o' at 2, insert 'v' at 3, replace 'h' at 2 with 'f' (distance 2), replace 'e' at 4 with 'f' (distance 1.41), replace 'r' at 5 with 'e' (distance 1), 
cheffetz	covfefe	5	0.742	11.2	delete 'h' at 2, replace 'e' at 3 with 'o' (distance 6), replace 'f' at 4 with 'v' (distance 1), replace 't' at 7 with 'f' (distance 1.41), replace 'z' at 8 with 'e' (distance 2.83), 
cheffetz's	covfefe	7	0.704	8.41	delete 'h' at 2, replace 'e' at 3 with 'o' (distance 6), replace 'f' at 4 with 'v' (distance 1), delete 't' at 7, delete 'z' at 8, replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
cheke	covfefe	4	0.709	6	insert 'o' at 2, insert 'v' at 3, replace 'h' at 2 with 'f' (distance 2), replace 'k' at 4 with 'f' (distance 4), 
cheme	covfefe	4	0.709	4.24	insert 'o' at 2, insert 'v' at 3, replace 'h' at 2 with 'f' (distance 2), replace 'm' at 4 with 'f' (distance 2.24), 
chere	covfefe	4	0.709	3	insert 'o' at 2, insert 'v' at 3, replace 'h' at 2 with 'f' (distance 2), replace 'r' at 4 with 'f' (distance 1), 
chevrolet	covfefe	6	0.721	18	delete 'h' at 2, replace 'e' at 3 with 'o' (distance 6), replace 'r' at 5 with 'f' (distance 1), replace 'o' at 6 with 'e' (distance 6), replace 'l' at 7 with 'f' (distance 5), delete 't' at 9, 
chevrolets	covfefe	7	0.704	13.8	delete 'h' at 2, replace 'e' at 3 with 'o' (distance 6), delete 'r' at 5, delete 'o' at 6, replace 'l' at 7 with 'f' (distance 5), replace 't' at 9 with 'f' (distance 1.41), replace 's' at 10 with 'e' (distance 1.41), 
chicopee	covfefe	6	0.721	15.5	delete 'h' at 2, replace 'i' at 3 with 'o' (distance 1), replace 'c' at 4 with 'v' (distance 1), replace 'o' at 5 with 'f' (distance 5.1), replace 'p' at 6 with 'e' (distance 7), replace 'e' at 7 with 'f' (distance 1.41), 
